n,average_cycle_length,std_dev,num_trials,algorithm
4,3.2488,0.4323,2000,prufer
5,3.4798,0.6399,2000,prufer
6,3.6882,0.8058,2000,prufer
7,3.9026,0.9657,2000,prufer
8,4.0887,1.0991,2000,prufer
9,4.2783,1.2278,2000,prufer
10,4.4518,1.3475,2000,prufer
11,4.6178,1.4587,2000,prufer
12,4.7720,1.5584,2000,prufer
13,4.9382,1.6651,2000,prufer
14,5.0836,1.7642,2000,prufer
15,5.2369,1.8585,2000,prufer
16,5.3566,1.9295,2000,prufer
17,5.5191,2.0311,2000,prufer
18,5.6512,2.1098,2000,prufer
19,5.7881,2.1930,2000,prufer
20,5.9027,2.2605,2000,prufer
21,6.0347,2.3454,2000,prufer
22,6.1578,2.4202,2000,prufer
23,6.2690,2.4888,2000,prufer
24,6.4209,2.5793,2000,prufer
25,6.5137,2.6270,2000,prufer
26,6.6246,2.6941,2000,prufer
27,6.7665,2.7841,2000,prufer
28,6.8821,2.8557,2000,prufer
29,6.9724,2.8990,2000,prufer
30,7.0749,2.9585,2000,prufer
31,7.1827,3.0246,2000,prufer
32,7.2504,3.0621,2000,prufer
33,7.3663,3.1327,2000,prufer
34,7.4769,3.1988,2000,prufer
35,7.6180,3.2943,2000,prufer
36,7.6837,3.3176,2000,prufer
37,7.7781,3.3746,2000,prufer
38,7.8731,3.4152,2000,prufer
39,7.9581,3.4760,2000,prufer
40,8.0903,3.5552,2000,prufer
41,8.1936,3.6122,2000,prufer
42,8.2189,3.6058,2000,prufer
43,8.3456,3.6901,2000,prufer
44,8.4431,3.7470,2000,prufer
45,8.5439,3.8243,2000,prufer
46,8.6374,3.8679,2000,prufer
47,8.6891,3.8805,2000,prufer
48,8.7951,3.9340,2000,prufer
49,8.9011,4.0135,2000,prufer
50,8.9975,4.0729,2000,prufer
51,9.0484,4.1057,2000,prufer
52,9.1244,4.1481,2000,prufer
53,9.2431,4.2136,2000,prufer
54,9.2827,4.2128,2000,prufer
55,9.3574,4.2658,2000,prufer
56,9.4982,4.3725,2000,prufer
57,9.5339,4.3695,2000,prufer
58,9.6215,4.4248,2000,prufer
59,9.7156,4.4797,2000,prufer
60,9.7737,4.5057,2000,prufer
61,9.8858,4.5789,2000,prufer
62,9.8658,4.5415,2000,prufer
63,9.9867,4.6073,2000,prufer
64,10.0634,4.6640,2000,prufer
65,10.1660,4.7207,2000,prufer
66,10.2013,4.7390,2000,prufer
67,10.3326,4.8300,2000,prufer
68,10.4137,4.8645,2000,prufer
69,10.4721,4.9007,2000,prufer
70,10.5492,4.9347,2000,prufer
71,10.6028,4.9640,2000,prufer
72,10.6439,4.9784,2000,prufer
73,10.7509,5.0586,2000,prufer
74,10.7964,5.0543,2000,prufer
75,10.8932,5.1292,2000,prufer
76,10.9394,5.1511,2000,prufer
77,11.0236,5.2044,2000,prufer
78,11.0378,5.1877,2000,prufer
79,11.1326,5.2373,2000,prufer
80,11.2004,5.2868,2000,prufer
81,11.2419,5.3260,2000,prufer
82,11.3554,5.3737,2000,prufer
83,11.3720,5.3674,2000,prufer
84,11.4744,5.4408,2000,prufer
85,11.5909,5.5403,2000,prufer
86,11.6460,5.5435,2000,prufer
87,11.7147,5.5886,2000,prufer
88,11.8027,5.6221,2000,prufer
89,11.8109,5.6218,2000,prufer
90,11.8305,5.5998,2000,prufer
91,11.9720,5.7309,2000,prufer
92,11.9755,5.7030,2000,prufer
93,12.1089,5.8209,2000,prufer
94,12.1747,5.8343,2000,prufer
95,12.2217,5.8517,2000,prufer
96,12.2884,5.8975,2000,prufer
97,12.3460,5.9202,2000,prufer
98,12.3977,5.9489,2000,prufer
99,12.4680,6.0076,2000,prufer
